ID,CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
C0526,Introduction,2016-10-19 00:00:00,jour,8,290031.125,5033105.5,45.4377260552,-73.6887725459
C0527,Introduction,2016-10-23 00:00:00,nuit,30,295323.738999,5048892.295,45.5798737316,-73.6214287653
C0528,Introduction,2016-07-31 00:00:00,jour,31,0,0,1,1
C0529,Introduction,2016-08-01 00:00:00,soir,26,294604.287002,5037754.19101,45.4796388395,-73.630415968
C0530,Introduction,2016-08-12 00:00:00,nuit,7,287951.163,5040931.196,45.5080978796,-73.7156263591
C0531,Introduction,2016-08-12 00:00:00,nuit,30,295480.052995,5048794.52299,45.5789960623,-73.6194238978
C0532,Introduction,2016-08-16 00:00:00,jour,44,299031.688004,5045539.768,45.5497472277,-73.5738756251
C0533,Introduction,2016-08-17 00:00:00,soir,16,298796.094,5034558,45.450926605,-73.5767585178
C0534,Introduction,2016-08-20 00:00:00,jour,23,301300.493992,5045721.20001,45.5513949124,-73.5448200006
C0535,Introduction,2016-08-26 00:00:00,nuit,44,299027.643997,5046761.697,45.560742527,-73.5739418357
C0536,Introduction,2016-08-29 00:00:00,jour,38,298051.757994,5042246.261,45.520102229,-73.5863803361
C0537,Introduction,2016-09-11 00:00:00,jour,10,287477.098001,5043502.484,45.531223581,-73.7217841375
C0538,Introduction,2016-09-13 00:00:00,soir,15,300643.919997,5037623.28601,45.4785229733,-73.5531604305
C0539,Introduction,2016-09-14 00:00:00,nuit,44,297564.385003,5045619.687,45.5504526679,-73.5926687512
C0540,Introduction,2016-09-18 00:00:00,jour,38,297417.709009,5042662.078,45.5238374861,-73.5945026832
C0541,Introduction,2016-09-19 00:00:00,jour,39,295772.05501,5052150.14699,45.609194716,-73.6157443054
C0542,Introduction,2016-09-28 00:00:00,soir,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0543,Introduction,2016-10-01 00:00:00,jour,4,282084.094005,5039921.5,45.49884591,-73.7906637417
C0544,Introduction,2016-10-03 00:00:00,soir,26,295070.301995,5040836.56299,45.5073819798,-73.6245161733
C0545,Introduction,2016-07-15 00:00:00,jour,49,305701.183994,5055414.779,45.6386287041,-73.4884401696
C0546,Introduction,2016-07-15 00:00:00,jour,48,302544.907998,5050436.598,45.5938307093,-73.5289039003
C0547,Introduction,2016-10-09 00:00:00,jour,26,295352.940998,5039834.515,45.4983690262,-73.6208798005
C0548,Introduction,2016-07-18 00:00:00,soir,49,305338.435,5055484.41699,45.6392556977,-73.4930932121
C0549,Introduction,2016-07-21 00:00:00,nuit,30,296793.502,5047967.053,45.5715665924,-73.6025801026
C0550,Introduction,2016-08-03 00:00:00,soir,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0551,Introduction,2016-08-15 00:00:00,soir,22,301063.162003,5043191.98,45.5286348254,-73.5478403295
C0552,Introduction,2016-08-16 00:00:00,jour,7,291518.219,5042330.5,45.5207663871,-73.6700143867
C0553,Introduction,2016-08-26 00:00:00,jour,44,299027.643997,5046761.697,45.560742527,-73.5739418357
C0554,Introduction,2016-08-28 00:00:00,nuit,3,278100.500006,5040354.99999,45.502605589,-73.8416589813
C0555,Introduction,2016-09-06 00:00:00,soir,30,296336.050007,5046383.93601,45.5573157906,-73.6084136117
C0556,Introduction,2016-09-12 00:00:00,soir,38,299826.39,5043678.098,45.5330013719,-73.5636788521
C0557,Introduction,2016-09-15 00:00:00,nuit,38,296689.799002,5042851.757,45.5255362013,-73.6038239789
C0558,Introduction,2016-09-20 00:00:00,jour,48,300033.579,5050450.58,45.5939438446,-73.561092157
C0559,Introduction,2016-09-28 00:00:00,jour,7,287635.596,5038380.32,45.4851364482,-73.7195756337
C0560,Introduction,2016-10-10 00:00:00,jour,44,299029.476001,5047095.521,45.5637464004,-73.5739223076
C0561,Introduction,2016-10-12 00:00:00,soir,44,300478.292002,5045267.889,45.5473112431,-73.5553463628
C0562,Introduction,2016-07-01 00:00:00,nuit,15,296787.879,5034092.832,45.4467206518,-73.6024254592
C0563,Introduction,2016-07-05 00:00:00,jour,27,292642.797007,5047117.454,45.5638615197,-73.6557380839
C0564,Introduction,2016-07-06 00:00:00,soir,1,269166.062993,5029813,45.4073471761,-73.9552210715
C0565,Introduction,2016-07-09 00:00:00,jour,16,299452.563007,5034448.5,45.4499466,-73.5683645328
C0566,Introduction,2016-07-15 00:00:00,nuit,38,298195.147002,5042072.20401,45.5185373686,-73.5845425529
C0567,Introduction,2016-07-22 00:00:00,nuit,15,300008.563003,5038275.215,45.4843852586,-73.5612936398
C0568,Introduction,2016-07-22 00:00:00,jour,42,297767.625,5050635.00001,45.595584083,-73.5901379621
C0569,Introduction,2016-07-25 00:00:00,nuit,7,290688.126,5042304.058,45.5205121439,-73.6806392384
C0570,Introduction,2016-08-01 00:00:00,jour,23,301609.218995,5044781.83101,45.5429436166,-73.5408598749
C0571,Introduction,2016-08-10 00:00:00,jour,46,300980.908001,5051037.315,45.5992292978,-73.5489546502
C0572,Introduction,2016-08-13 00:00:00,jour,38,298014.971005,5042187.462,45.5195727754,-73.5868504105
C0573,Introduction,2016-07-29 00:00:00,jour,21,300091.226995,5040865.56999,45.5076949657,-73.5602610316
C0574,Introduction,2016-08-17 00:00:00,soir,38,298379.310003,5041955.07599,45.5174851245,-73.5821837226
C0575,Introduction,2016-08-26 00:00:00,soir,26,294748.577006,5040044.73001,45.5002521827,-73.6286172248
C0576,Introduction,2016-09-20 00:00:00,soir,20,298471.927,5039955.27,45.4994908917,-73.5809724367
C0577,Introduction,2016-09-24 00:00:00,soir,10,289172.800726,5043029.70409,45.5270094363,-73.7000592095
C0578,Introduction,2016-10-02 00:00:00,jour,23,301567.396003,5044799.708,45.5431042875,-73.5413955614
C0579,Introduction,2016-10-09 00:00:00,nuit,42,299158.352995,5049052.72601,45.5813590002,-73.5722939445
C0580,Introduction,2016-07-21 00:00:00,soir,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0581,Introduction,2016-07-23 00:00:00,nuit,3,277159.063008,5040338,45.5024159515,-73.8537048535
C0582,Introduction,2016-08-03 00:00:00,soir,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0583,Introduction,2016-08-04 00:00:00,jour,48,303442.459009,5049905.56301,45.5890546339,-73.5173983596
C0584,Introduction,2016-08-06 00:00:00,jour,44,300356.144995,5046153.37301,45.555278369,-73.5569186914
C0585,Introduction,2016-08-08 00:00:00,jour,22,300745.595992,5043063.59399,45.5274777834,-73.5519048585
C0586,Introduction,2016-08-02 00:00:00,jour,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0587,Introduction,2016-08-19 00:00:00,nuit,3,276533.309999,5040499.678,45.503845696,-73.8617214053
C0588,Introduction,2016-08-19 00:00:00,jour,16,299111.21901,5034204.99999,45.4477527679,-73.5727256402
C0589,Introduction,2016-08-26 00:00:00,nuit,38,298559.073997,5041837.197,45.5164260345,-73.579881276
C0590,Introduction,2016-08-27 00:00:00,jour,22,300929.097,5042941.094,45.5263765241,-73.5495546945
C0591,Introduction,2016-09-01 00:00:00,soir,15,299091.296008,5038035.66001,45.4822227351,-73.5730248275
C0592,Introduction,2016-09-09 00:00:00,jour,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0593,Introduction,2016-09-14 00:00:00,soir,38,297967.411008,5042113.07599,45.5189029563,-73.587458155
C0594,Introduction,2016-09-19 00:00:00,jour,21,300110.318001,5041367.07601,45.5122078532,-73.5600215088
C0595,Introduction,2016-09-20 00:00:00,jour,27,293679.574,5044559.482,45.5408613924,-73.6423985065
C0596,Introduction,2016-10-01 00:00:00,soir,27,292273.176,5045143.08,45.5460889316,-73.6604224844
C0597,Introduction,2016-10-17 00:00:00,soir,46,300671.874996,5052110,45.6088798372,-73.5529250326
C0598,Introduction,2016-10-25 00:00:00,nuit,44,298900.568995,5045908.21601,45.553061552,-73.5755593266
C0599,Introduction,2016-10-27 00:00:00,soir,1,274566.06299,5030761.5,45.4161362248,-73.8862963442
C0600,Introduction,2016-10-30 00:00:00,soir,35,296214.179,5043356.241,45.5300700411,-73.6099215316
C0601,Introduction,2016-11-02 00:00:00,soir,30,297445.054005,5046571.857,45.5590193638,-73.5942113733
C0602,Introduction,2016-11-07 00:00:00,jour,1,274535.343993,5031391.49999,45.4218038622,-73.8867275267
C0603,Introduction,2016-09-08 00:00:00,soir,10,287294.883002,5043277.72399,45.5291965658,-73.7241089758
C0604,Introduction,2016-09-11 00:00:00,soir,20,299196.686994,5039721.08701,45.4973898097,-73.5716959228
C0605,Introduction,2016-09-15 00:00:00,jour,5,283250.281,5037719.5,45.4790685422,-73.7756451893
C0606,Introduction,2016-09-19 00:00:00,jour,38,297466.943989,5042443.102,45.5218675751,-73.593869137
C0607,Introduction,2016-10-11 00:00:00,jour,38,299130.230006,5040703.565,45.5062300273,-73.5725576125
C0608,Introduction,2016-10-15 00:00:00,jour,31,297065.925004,5045734.87399,45.5514838027,-73.5990544934
C0609,Introduction,2016-10-15 00:00:00,soir,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0610,Introduction,2016-10-17 00:00:00,jour,11,294899.797996,5035873.964,45.4627239475,-73.626598137
C0611,Introduction,2016-10-20 00:00:00,soir,16,298816.875006,5034900,45.4540042711,-73.5764969981
C0612,Introduction,2016-10-22 00:00:00,jour,15,298382.160994,5035461.64701,45.4590543912,-73.5820623409
C0613,Introduction,2016-10-27 00:00:00,soir,24,292790.124991,5040981.99999,45.5086551437,-73.6537002896
C0614,Introduction,2016-10-28 00:00:00,soir,11,293793.905005,5035118.011,45.4559049771,-73.6407227028
C0615,Introduction,2016-10-29 00:00:00,soir,13,294141.294009,5032237.096,45.4299864495,-73.6362186376
C0616,Introduction,2016-10-29 00:00:00,soir,10,285410.563001,5041082.383,45.5093923102,-73.7481458861
C0617,Introduction,2016-11-04 00:00:00,jour,4,279648.405997,5040189,45.5011693992,-73.8218430837
C0618,Introduction,2016-11-07 00:00:00,soir,38,299130.230006,5040703.565,45.5062300273,-73.5725576125
C0619,Introduction,2016-11-09 00:00:00,nuit,23,301734.584996,5045535.533,45.5497262611,-73.5392592087
C0620,Introduction,2016-11-11 00:00:00,jour,38,297376.110002,5042599.577,45.5232746363,-73.5950342555
C0621,Introduction,2016-05-08 00:00:00,jour,26,294748.577006,5040044.73001,45.5002521827,-73.6286172248
C0622,Introduction,2016-05-09 00:00:00,soir,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0623,Introduction,2016-05-14 00:00:00,soir,27,291495.955993,5044597.844,45.541168309,-73.6703609484
C0624,Introduction,2016-05-17 00:00:00,soir,15,296871.13599,5034074.68799,45.4465583323,-73.6013608267
C0625,Introduction,2016-05-25 00:00:00,soir,22,300802.714003,5042459.30999,45.5220405289,-73.5511686988
C0626,Introduction,2016-06-07 00:00:00,nuit,38,298914.069006,5040853.31501,45.5075757497,-73.5753256794
C0627,Introduction,2016-03-21 00:00:00,jour,5,283738.915,5038908.106,45.4897789582,-73.7694460626
C0628,Introduction,2016-03-24 00:00:00,jour,21,300091.226995,5040865.56999,45.5076949657,-73.5602610316
C0629,Introduction,2016-05-28 00:00:00,jour,10,288339.857004,5043789.96299,45.5338313212,-73.7107480213
C0630,Introduction,2016-05-20 00:00:00,soir,11,294064.89601,5036578.941,45.4690553258,-73.6372897556
C0631,Introduction,2016-05-22 00:00:00,jour,10,285063.226994,5041116.89101,45.5096930819,-73.7525924358
C0632,Introduction,2016-02-21 00:00:00,jour,39,294305.811,5049830.264,45.5882992273,-73.6344926075
C0633,Introduction,2016-02-24 00:00:00,soir,11,295037.585,5037608.979,45.4783383503,-73.62487067
C0634,Introduction,2016-03-13 00:00:00,jour,10,287477.098001,5043502.484,45.531223581,-73.7217841375
C0635,Introduction,2016-03-22 00:00:00,soir,38,298640.612001,5041787.576,45.5159802499,-73.5788370007
C0636,Introduction,2016-03-24 00:00:00,soir,10,289372.77201,5045148.675,45.5460810772,-73.6975659534
C0637,Introduction,2016-04-07 00:00:00,soir,30,296336.050007,5046383.93601,45.5573157906,-73.6084136117
